year,metric,source,value_type,value
1968,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),23428
1969,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),26775
1970,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),29837
1971,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),36690
1972,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),44359
1973,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),64142
1974,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),92512
1975,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),87560
1976,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),90154
1977,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),109762
1978,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),137888
1979,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),184993
1980,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),237899
1981,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),260192
1982,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),256663
1983,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),275176
1984,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),319676
1985,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),304881
1986,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),346688
1987,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),439376
1988,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),526329
1989,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),603528
1990,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),595295
1991,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),629013
1992,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),812386
1993,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),970380
1994,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),1072770
1995,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),1225112
1996,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),1252471
1997,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),1456414
1998,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),1676594
1999,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),1693809
2000,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),1907415
2001,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),1471600
2002,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),1569665
2003,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),1652309
2004,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),2170786
2005,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),2206907
2006,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),2375753
2007,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),2511530
2008,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),2284011
2009,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),1933170
2010,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),2487462
2011,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),2540188
2012,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),2592951
2013,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),2763424
2014,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),2951986
2015,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),3029456
2016,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),3172823
2017,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),3132210
2018,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),3278250
2019,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),3740330
2020,Gross Fixed Capital Formation,Private Sector,Nominal Prices (Millions of NTD),3897617
1951,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),6555
1952,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),8121
1953,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),11155
1954,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),13826
1955,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),8875
1956,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),11105
1957,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),10052
1958,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),10859
1959,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),15726
1960,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),21331
1961,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),22463
1962,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),23767
1963,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),30035
1964,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),36205
1965,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),50981
1966,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),62012
1967,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),73668
1968,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),87117
1969,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),96088
1970,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),112529
1971,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),138580
1972,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),162493
1973,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),192371
1974,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),207484
1975,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),200582
1976,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),199865
1977,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),231872
1978,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),277077
1979,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),322780
1980,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),355859
1981,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),376385
1982,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),372273
1983,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),400929
1984,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),469268
1985,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),446755
1986,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),511198
1987,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),646119
1988,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),750346
1989,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),833448
1990,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),799763
1991,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),842617
1992,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),1010317
1993,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),1154578
1994,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),1292237
1995,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),1437501
1996,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),1521366
1997,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),1778177
1998,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),1983123
1999,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),2025831
2000,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),2314815
2001,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),1794801
2002,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),1912068
2003,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),1972536
2004,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),2458999
2005,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),2517083
2006,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),2631849
2007,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),2698699
2008,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),2306926
2009,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),1950711
2010,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),2484023
2011,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),2504366
2012,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),2539016
2013,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),2771573
2014,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),2923382
2015,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),3048582
2016,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),3172823
2017,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),3135907
2018,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),3212605
2019,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),3599113
2020,Gross Fixed Capital Formation,Private Sector,Chained 2016 Dollars (Millions of NTD),3762121
